图片,名称,sal,d,d1,d2,名称_链接,名称3,dc,dc4,dc5,关键词
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,Python,1-1.7万,大连,3-4年,本科,https://jobs.51job.com/all/coUjAHZANoDjUBbABrVjs.html,智捷融汇（大连）科技有限公司,计算机软件,民营,50-150人,"mysql
数据库
数据分析
linux
css
redis
js
数据建模
python
五险一金
年终奖金
股票期权"
https://img01.51jobcdn.com/fansImg/CompLogo/6/5899/5898004/5898004_300.png?637266925368893511,Python,1.1-1.4万,上海·浦东新区,3-4年,本科,https://jobs.51job.com/all/coCGtVOQBqUWcOaw1uVjc.html,上海得逸信息技术有限公司,计算机软件,民营,1000-5000人,"地理信息系统
评估报告
交通运输
决策树
效果验证
算法评估
路径规划算法
决策算法
五险一金"
https://img01.51jobcdn.com/fansImg/CompLogo/3/2516/2515759/2515759_120.gif?636196427138051959,Python工程师,1.5-2万·13薪,上海,2年,本科,https://jobs.51job.com/all/coAmZXNgNhU2gPbQNlBmo.html,上海特易信息科技有限公司,互联网/电子商务,合资,150-500人,"sqlserver
项目开发
编码
spark
postgresql
设计文档
nlp
部署系统
单元自测
python开发
五险一金
绩效奖金
定期体检
周末双休
带薪年假"
https://img01.51jobcdn.com/fansImg/CompLogo/1/103/102233/102233_120.gif?635700457649486530,机器学习算法工程师-NLP+Python,1.8-2万,上海·浦东新区,5-7年,本科,https://jobs.51job.com/all/coA2RXMwBhBzsGYFMz.html,上海复深蓝软件股份有限公司,计算机软件,已上市,1000-5000人,"建模
ai
机器学习
数据清洗
nlp
保险场景
Python
五险一金
年终奖金
做五休二"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,Python,1-1.7万,大连,3-4年,本科,https://jobs.51job.com/all/coUjAHZANoDjUBbABrVjs.html,智捷融汇（大连）科技有限公司,计算机软件,民营,50-150人,"mysql
数据库
数据分析
linux
css
redis
js
数据建模
python
五险一金
年终奖金
股票期权"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/home_logo_default.png,Python高级开发工程师,1.5-3万·13薪,深圳·宝安区,5-7年,本科,https://jobs.51job.com/all/coCWpRNQRhVGoEaQZjXDs.html,骏兴纸业（深圳）有限公司,印刷/包装/造纸,民营,50-150人,"Odoo
python编程
五险一金
节日福利"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,Java/Python高级软件开发工程师,1.8-3万,上海·浦东新区,3-4年,本科,https://jobs.51job.com/all/coBWEFZ1A0VW5WN1YwAm4.html,丰盛信息科技（上海）有限公司,计算机软件,外资（非欧美）,50-150人,"软件开发
软件工程师
Java
Python
五险一金
定期体检"
https://img01.51jobcdn.com/fansImg/CompLogo/3/2382/2381615/2381615_300.png?636854982545746205,Python开发实习工程师,4-8千,重庆·九龙坡区,无需经验,本科,https://jobs.51job.com/all/coCGxTNARvUW4BYgRmUTE.html,重庆睿景信息技术有限公司,计算机软件,民营,150-500人,"计算机
电子
自动化
通信
网络
软件工程
数学
后端开发
python语言
五险一金
餐饮补贴"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,Python,1-1.7万,大连,3-4年,本科,https://jobs.51job.com/all/coUjAHZANoDjUBbABrVjs.html,智捷融汇（大连）科技有限公司,计算机软件,民营,50-150人,"mysql
数据库
数据分析
linux
css
redis
js
数据建模
python
五险一金
年终奖金
股票期权"
https://img01.51jobcdn.com/fansImg/CompLogo/1/103/102233/102233_120.gif?635700457649486530,Python 开发- nlp,2-2.4万,上海·浦东新区,5-7年,本科,https://jobs.51job.com/all/coA2RXMwBhBzsGYFMz.html,上海复深蓝软件股份有限公司,计算机软件,已上市,1000-5000人,"mysql
oracle
数据库
数据分析
机器学习
hive
nlp
建模
ai
保险
五险一金
年终奖金
做五休二"
https://img01.51jobcdn.com/fansImg/CompLogo/2/1431/1430329/1430329_120.gif?635779094849776281,Python开发工程师,1.4-1.8万,深圳·南山区,3-4年,本科,https://jobs.51job.com/all/coBGNVNVMzUW8GYAVkBWk.html,深圳市紫川软件有限公司,计算机软件,民营,500-1000人,"五险一金
定期体检
员工旅游
餐饮补贴"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,Python开发工程师,1-2万,北京·海淀区,2年,本科,https://jobs.51job.com/all/coVTRcPARlDzRRNQdmBmo.html,北京瑞鑫天算资产管理有限公司,计算机软件,民营,,"五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
绩效奖金
股票期权"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,Python,1-1.7万,大连,3-4年,本科,https://jobs.51job.com/all/coUjAHZANoDjUBbABrVjs.html,智捷融汇（大连）科技有限公司,计算机软件,民营,50-150人,"mysql
数据库
数据分析
linux
css
redis
js
数据建模
python
五险一金
年终奖金
股票期权"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_mech.png,Python工程师,1.5-2.8万,南京,3-4年,本科,https://jobs.51job.com/all/coUTBVNwVgBTkObFYwAWY.html,中电变压器股份有限公司,机械/设备/重工,民营,1000-5000人,"爬虫
ChatGPT
爬虫策略
机器学习
mysql数据库
多线程开发
互联网
电商平台
五险一金
餐饮补贴
周末双休"
https://img01.51jobcdn.com/fansImg/CompLogo/8/7124/7123270/63315361861270114902_300.jpeg?1654787820175,Python开发工程师,1-1.5万·13薪,武汉·洪山区,3-4年,本科,https://jobs.51job.com/all/coA2JTNl4_DzIFYgFlAmc.html,中审世纪工程造价咨询（北京）有限公司,专业服务(咨询、人力资源、财会),民营,150-500人,"python
数据库
django
flask
sql
odoo
http
五险一金
年终奖金"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_elect.png,Python软件工程师,1.2-2万,佛山,3-4年,本科,https://jobs.51job.com/all/coCG1UMVI0VWMAYFQ-XDk.html,广州晶优电子科技有限公司,电子技术/半导体/集成电路,民营,50-150人,"python
数据库
linux
nosql
五险一金
绩效奖金
交通补贴
餐饮补贴
定期体检
包住"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,Python,1-1.7万,大连,3-4年,本科,https://jobs.51job.com/all/coUjAHZANoDjUBbABrVjs.html,智捷融汇（大连）科技有限公司,计算机软件,民营,50-150人,"mysql
数据库
数据分析
linux
css
redis
js
数据建模
python
五险一金
年终奖金
股票期权"
https://img01.51jobcdn.com/fansImg/CompLogo/4/3658/3657231/40296743761524081156_300.jpeg?1658477121556,Python开发工程师,7千-1.2万,中山,3-4年,本科,https://jobs.51job.com/all/coVjMAYlI0Bz4DZAFhBWE.html,中山大简科技有限公司,机械/设备/重工,民营,50-150人,"c++
web
数据结构
设计模式
多线程
计算机软件
vscode
项目
开发工具
人机交互
五险一金
餐饮补贴
年终奖金"
https://img01.51jobcdn.com/fansImg/CompLogo/4/3307/3306849/3306849_300.jpg?637656738219708258,Python开发工程师,2.5-3.5万,北京,3-4年,本科,https://jobs.51job.com/all/coBWBTNARnAjoCb1A3VDg.html,前海开源基金管理有限公司,金融/投资/证券,民营,150-500人,"mysql
oracle
http
关系型数据库
websocket
b/s架构
python开发
基金行业
桌面运维
餐饮补贴
节日福利
周末双休
地铁周边
五险一金
员工旅游
绩效奖金
年终奖金
定期体检"
